"ID","Nom","Type","Deplacement","TypeDeplacement","PointsArmee","TauxProduction","TypeProduction","Evolution","ConditionPour","Nation","Pic","CargMat","CargMil","CargCiv","Detection","Discretion","Camouflage","Domaines","DomainesAttaq","Portee","Precision","Esquive","Couverture","PuissanceOff","PuissanceDef","Armure","Resistance","Rapidite","Moral","Loyaute","TauxProductionSec","TypeProductionSec","CargMV","ArretMarchand","AjustType","AjustTaux","CoutDricks","CoutUnitType","CoutUnitQ","CoutResType1","CoutResQ1","CoutResType2","CoutResQ2","CoutResType3","CoutResQ3","UnitProduite","Flag","Natures","NaturesAttaq","MaxPetitesCibles","Robustesse","ServantType","ServantMin","Attitude","NombrePourRencontres","TirEmbarque","RessourcesProduites1","RessourcesProduites2","UniteRequise","ProductionTypeUnite","ProductionNbrUnite","TempsDeConstruction","EnConstruction","RessourcesRecoltees","TauxRecolte","UniteRequise2","UniteRequise3","AjustRecolteUnite","AjustRecolteTaux","Medecine","CompetenceSpeciale","CompetenceTaux","ChefDeChantier","Terraform","SousType","DemantelerPour","Help","Disette","SousTypeCreatures","Sanitaire","Population","TechnoProhib","ProductionMaxUnite","EquivalentPaysan","AAbattre","ACouvrir","PonteAleatoire","EffetArmures","DegatsMorts","Imparable","TechnoAssoc","LogTypeProhib","UnitExistReq","NomVisible","RencontreAvec","NoteDeConstruction","PonteClassique","Irrigation","PersonnelMinimum","RealPOP","AEpargner","Producteur","LairType","EntretienRes","EntretienQuant","Formation","UniteRequise4","CoutResType4","CoutResQ4","EntretienMaj","PicNV","Endurance","Regime","PicType"
"1172","Spahbod (v)","Soldat","11","MCCheval","293","10","Def","","","","clourdepers.jpg","0","0","","90","25","0","Terrestre_Sp","Terrestre_Volant","1","55","57","15","6","6","45","69","9","2","100","","","","","_Rapi1_Puis15_Loya1_","40","","Spahbod","1","Tissu","1","Papier","1","Gemmes","2","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","1","","Moral","","Forteresse","","","5","20160529131634","","","Citadelle","","","","9","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","","","","","","","","15","63","63","","","","Forteresse","","Cigares de Mikaron","1","","","98","Omnivore",""
"1173","Salar","Soldat","6","MCFanLeger","155","","Def","","","","riche2.jpg","0","0","","90","25","0","Terrestre_Sp","Terrestre","1","45","30","10","6","6","30","32","7","2","80","","","","","_Rapi1_Endu1_Loya1_","25","7","Aspirant","2","Acier","1","Papier","3","Tissu","1","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","1","","","","Séminaire","","","10","20160301135201","","","Château","Bastion","","","","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","01_Arsenal","","","","forteresse","","","10","23","23","","","","Séminaire","Etat major","Moral","10","","","65","Omnivore",""
"1174","Salar (v)","Soldat","11","MCCheval","189","","Def","","","","clibachef.jpg","0","0","","90","25","0","Terrestre_Sp","Terrestre_Volant","1","47","40","15","6","6","35","37","9","2","90","","","","","_Rapi3_Endu3_Loya4_","100","2","Salar","1","Tissu","1","Papier","1","Cigares de Mikaron","1","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","1","","","","Château","","","5","20160301133654","","","Bastion","","","","5","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","","","","","yes","","","10","34","34","","","","Forteresse","","Moral","25","","","85","Omnivore",""
"1175","Monument","Batiment","0","","","20","Construct","","","","monument.jpg","0","0","","0","0","-50","Terrestre","","","0","-25","0","0","0","50","700","0","0","100","1","","","","","","35","Tailleur de pierre","1","Pierre","150","Chevrons de construction","30","Gemmes","6","1","Bld","Mecanique","","","","","","Inoffensif","","no","Moral","Marche","Collège d&apos;artisans","Manants","x2","28","20160629142932","","","Tailleur de pierre Nain","Monument","","","","Quotas","Caravanes50","","","Amenagements","Ruines","La présence d&apos;un monument augmente les effets du tourisme dans une ville.","","","","LieuTourisme","","","","","","","","","","","","","","","","","","","50","143","143","","","","","","Moral","-20","","","100","Omnivore",""
"1176","Argus","Soldat","7","MCFanLeger","19","","Info","","","","argus2.jpg","0","0","","110","200","20","Terrestre","Terrestre_Marin_Volant","2","35","50","20","7","4","0","12","9","2","20","","","","","","","3","Vagabond (v)","1","Engrenages","1","Papier","1","","","1","Spy","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","1","","Espion","","Defense","","","","","Fureteur (v)","Manants","9","10","20160224012642","","","","","","","","Deguisement","15","yes","","","Impossible","","","Hors-la-loi_HLL_EGenie","","PasDeDon","","","","","yes","","","Moitier","","","","01_Espion (v)","Vagabond","","","","","","5","17","17","","","","","","","","","","80","Omnivore",""
"1177","Fureteur","Soldat","6","MCFanLeger","3","","Plouto_Info","","","","fureteur.jpg","0","0","","90","100","20","Terrestre","Terrestre_Marin","1","20","35","20","3","3","0","10","7","2","25","","","","","","","2","Vagabond","1","Charbon","1","Spiritueux","1","Papier","1","2","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","Espion","","Defense","","","","","Espion","","","5","20160224012642","","","","","","","","Vol","18","","","","Impossible","","","Hors-la-loi_HLL_EGenie","","","","","","","yes","","","Tiers","","","","01_Informateur","Vagabond","","","","","","5","6","6","","","","","","","","","","80","Omnivore",""
"1178","Fureteur (v)","Soldat","7","MCFanLeger","5","","Plouto_Info","","","","fureteur.jpg","0","0","","100","125","20","Terrestre","Terrestre_Marin","1","25","40","20","3","3","0","12","9","2","20","","","","","","","2","Fureteur","2","Acier","1","Drogues","1","Gemmes","1","2","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","Espion","","Defense","","","","","Mouchard","","","5","20160224012642","","","","","","","","Vol","24","","","","Impossible","","","Hors-la-loi_HLL_EGenie","","","","","","","yes","","","Tiers","","","","01_Espion (v)","Vagabond","","","","","","5","12","12","","","","","","","","","","80","Omnivore",""
"1179","Argus (v)","Soldat","7","MCFanLeger","40","","Info","","","","argus2.jpg","0","0","","120","666","20","Terrestre","Terrestre_Marin_Volant","2","42","55","20","7","5","0","15","11","2","20","","","","","","","","Argus","1","Acier de Grim","1","Cuir vivant","1","","","1","Spy","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","1","","Espion","","Defense","","","","","Espion (v)","Manants","4","5","20160224012642","","","","","","","","Deguisement","20","yes","","","Impossible","","","Hors-la-loi_HLL_EGenie","","PasDeDon","","","","","yes","","","Moitier","","","","01_Taupe (v)","Vagabond","","","","","","5","42","42","","","","","","","","","","90","Omnivore",""
"1180","Mutamarrid","Soldat","6","MCEclaireurs","64","","Att_Chasse","","","","melo.jpg","0","0","","80","60","20","Terrestre","Terrestre","1","50","45","30","9","5","20","18","7","1","65","","","_Eclaireur","","","","6","Avant-coureur","6","Acier","3","Cuir","2","Tissu","1","6","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","","","","","Camp d&apos;entraînement","","","14","20160728183757","","","Château","Bastion","","","","Confusion","1","","","","","","","Soldat_Attaque","","","","","","","","","","Moitier","","","PR","","","","","","","","2","6","6","","","","","Maison de patrouilleur","Epices","2","","","80","Omnivore",""
"1181","Mutamarrid (v)","Soldat","6","MCEclaireurs","109","","Att_Chasse","","","","melo.jpg","0","0","","95","80","20","Terrestre","Terrestre_Marin","1","60","52","35","9","5","20","22","9","1","75","","","_Eclaireur","","","","","Mutamarrid","6","Cuir vivant","1","","","","","6","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","","","","","Arbre à palabres","","","7","20160728183840","","","","","","","","Confusion","2","","","","","","","Soldat_Attaque","","","","","","","","","","Moitier","","","PR","","","","","","","","2","10","10","","","","","","","","","","90","Omnivore",""
"1182","Mujahid","Soldat","6","MCFanLeger","33","","Att_Def","","","","memori.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","2","40","40","6","7","7","10","18","5","1","55","","","","","","","9","Cadarces","36","Acier","9","Cuir vivant","1","Cuir","3","36","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","18","","","","Camp","","","7","20160301131817","","","Tour de garde","","","","","","","","","","","","","Soldat_Attaque_Soldat_Defense","","","","","","","","","Moitier","Moitier","","","PR","01_Armurerie","","","","","","","2","4","3","","","","","","Tissu","4","","","50","Omnivore",""
"1183","Mujahid (v)","Soldat","6","MCFanLeger","53","","Att_Def","","","","memori.jpg","0","0","","70","25","0","Terrestre","Terrestre_Marin","2","50","50","9","7","7","10","21","7","1","60","","","","","","","","","","","","","","","","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","18","","","","Experience","","","7","20160301131817","","","","","","","","","","","","","","","","Soldat_Attaque_Soldat_Defense","","","","","","","","","Moitier","Moitier","","","PR","","","","","","","","2","","","","","","","","","","","","65","Omnivore",""
"1184","Qursan","Soldat","4","MCFanLeger","19","","Chaos_Plouto","","","","fanta2.jpg","0","0","_Mercenaire_Brigand","65","45","0","Terrestre","Terrestre_Marin_Volant","3","37","37","10","6","6","10","15","6","0","45","","","_Capitaine","","","","12","","","Cereales","18","Charbon","9","Perles","1","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","12","yes","","","Médina","","","7","20160614134612","","","Bourg des écumeurs","Casbah","","","","Pillage","","","","","","","","Mercenaire_Marin_Archer","","","","","","Marins","","","Moitier","Moitier","","_Milicien","BA_PR","01_Marché noir","","Ecumeur","","","","","2","3","3","Ilot Paradisiaque","","","","","Moral","6","","","40","Omnivore",""
"1185","Bourg des écumeurs","Batiment_Militaire_FDC","0","","285","","Att_Plouto","","_River_","","Bourg de corsaire.jpg","350","0","_Mercenaire","65","0","10","Terrestre","Terrestre_Marin_Volant","4","30","0","10","12","15","50","350","0","0","100","","","_Capitaine","50_2","_Couv1_","10","30","Paysan","2","Pierre","40","Perles","20","Spiritueux","6","1","Bld","Batiment","Vivant_Monstre_Mort_Mecanique","5","","","","Inoffensif","","no","","","Turbids","Ecumeur","x5","35","20160629142932","","","Bourg des écumeurs","Ecumeur (v)","","","","","","yes","","Caserne","Ruines","Cette unité fait apparaître sur la carte les navires étrangers se trouvant sur des territoires mer ou océan cartographiés, à condition d&apos;être construite en mer ou sur une côte.","","Mercenaire_Marin","","","","yes","","","","","Double","","yes","_Milicien_Espion_Eclaireur_Saltimbanque","PR","","","","","","","","415","257","257","","Dricks","2","","","Poissons","20","3","","100","Omnivore",""
"1186","Qursan (v)","Soldat","5","MCFanLeger","28","","Chaos_Plouto","","","","fanta2.jpg","0","0","_Mercenaire_Brigand","75","45","0","Terrestre","Terrestre_Marin_Volant","3","45","45","10","6","6","15","15","8","0","45","","","_Capitaine","","","","","","","","","","","","","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","12","yes","","","Experience","","","7","20160614134612","","","","","","","","Pillage","","","","","","","","Mercenaire_Marin_Archer","","","","","","Marins","","","Moitier","Moitier","","_Milicien","BA_PR","","","Ecumeur (v)","","","","","2","","","Ile plateforme","","","","","","","","","40","Omnivore",""
"1187","Marzban","Soldat","6","MCFanLeger","55","","Att","","","","caporamauk.jpg","0","0","","75","25","0","Terrestre_Sp","Terrestre","1","32","42","6","5","6","30","17","6","5","65","","","","","_PDef15_Loya1_","15","12","Pavois","2","Acier","2","Spiritueux","1","Papier","1","2","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","2","","","","Donjon","","","5","20160301135100","","","Redoute","","","","","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","","","","","chateau","","","2","11","11","","","","","","","","","","70","Omnivore",""
"1188","Marzban (v)","Soldat","6","MCFanLeger","84","","Att","","","","caporamauk.jpg","0","0","","80","25","0","Terrestre_Sp","Terrestre","1","37","47","6","5","6","30","20","8","5","75","","","","","_PDef10_Loya1_","15","2","Marzban","1","Cigares de Mikaron","1","Acier de Grim","1","Papier","1","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Place forte","","","5","20160529131634","","","Fortin","","","","","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","","","","","","","","2","23","23","","","","","","","","","","85","Omnivore",""
"1189","Hatchepsout","Civil","6","MCFanLeger","615","30","Theo_Necro","","","","hatchepsout.jpg","0","0","","90","30","0","Terrestre_Sp","Terrestre_Marin_Volant","4","70","90","6","40","40","0","61","10","50","100","1","","","","_Couv3_PMor15_Loya1_","45","","","","Hasgardos","1","","","","","1","Mil","Mort","Vivant_Monstre_Mort_Magique","5","","","","Attaque","","yes","Moral","Encens","","","","42","20160529131634","","","","","Les Gens","2","12","Confusion","30","","","Necromancie","Impossible","","","Perso_Hatchepsout_Chef","","","","","","","yes","","Double","Moitier","vision_yes","","","","","","","","","","50","","","","","","","","","","","","100","Omnivore",""
"1190","Muwajjih","Soldat","5","MCFanLeger","53","","Despo","","","","fanta1.jpg","0","0","","90","15","0","Terrestre_Sp","Terrestre","1","35","35","6","5","5","30","16","6","25","80","","","_Milicien","","_Endu4_Loya5_","140","6","Tambour","1","Acier","1","Cuir","1","Nourriture","2","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","1","","","","Hôtel de ville","","","14","20160301135201","","","Muwajjih","Caserne","","","","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","01_Arsenal","","","","forteresse","","","2","18","18","","","","","Cantonnement","Moral","15","","","80","Omnivore",""
"1191","Muwajjih (v)","Soldat","6","MCFanLeger","92","","Despo","","","","fanta1.jpg","0","0","","100","15","0","Terrestre_Sp","Terrestre","1","40","40","6","5","5","30","20","8","25","90","","","_Milicien","","_Endu4_Loya5_","200","7","Muwajjih","1","Spiritueux","1","","","","","1","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Hôtel de ville","","","5","20160529131634","","","","","","","","","","","","","","","","Chef","","","","","","","yes","","","Moitier","","","PR","01_Contre espionnage (v)","","","","","","","2","28","28","","","","","","","","","","90","Omnivore",""
"1192","Laitière du Chaos","Soldat","5","MCFanLourd","96","1","Def_Populo","","","Marins","laitiere.jpg","100","50","","65","25","0","Terrestre","Terrestre_Marin_Volant","2","40","40","25","7","4","20","20","6","3","30","1","200","","33_3","_Rapi1_Endu1_","20","","","","Hasgardos","1","","","","","6","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","2","50","","3","Attaque","","yes","Acier","Cereales","Experience","Homme d&apos;arme","x3","7","20160302173517","_Bois_Pierre_Metal_Cadavres frais_","3","","","Glaneur","3","15","Assassinat","30","yes","River","Divers","Gueux","","3","UGenie","-5","EnTest","Bardes","yes","","","yes","","Ignore","Double","poison","","OR","","","","","","2","Chamane","30","60","60","","Papier","1","","","","","3","","30","Omnivore",""
"1193","Serre","Creature_Mer","8","MCBateau","876","","","","","","serre.jpg","0","0","","50","10","0","Marin_Volant","Terrestre_Marin_Volant","2","75","30","0","25","25","55","160","9","2","100","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment","3","","","","Attaque","2","","","","","","","","20160529131634","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","Moitier","Double","","","","","","","","","","","7","","","","","","","","","","","","100","Carnivore",""
"1194","Marid","Creature_Mer","12","MCBatMix","259","","","","","","marid.jpg","0","0","","120","75","35","Marin","Terrestre_Marin_Volant","2","80","60","30","11","11","30","17","10","2","35","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Magique","1","","","","Attaque","3","","","","","","","","20160529131116","","","","","","","","Confusion","5","","","","","","","Tisseur","","Rencontre","","","","","","","","Moitier","","","","","","","","","","","3","","","","","","","","","","","","85","Rien",""
"1195","Mégalodon","Creature_Mer","12","MCBateau","182","","","","","","shark.jpg","0","0","","90","65","","Marin","Terrestre_Marin","1","40","40","10","14","12","20","38","8","2","50","","","","","","","","","","","","","","","","","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","5","","","","","","","","20160529131116","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","","Double","","","","","","","","","","","3","","","","","","","","","","","","60","Carnivore",""
"1196","Teiikos","Creature_Mer","6","MCBatMix","22","","","","","","crab.jpg","0","0","","60","25","25","Terrestre_Marin","Terrestre_Marin","1","35","30","15","8","8","40","14","6","2","90","","","","","","","","","","Hasgardos","1","","","","","","Spy","Vivant","Vivant_Monstre_Mort","1","","","","Attaque","16","yes","","","","","","","20160529131116","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","Double","Moitier","","","","","","","","","","","2","","","","","","","","","","","","70","Omnivore",""
"1197","Caulophryne","Creature_Mer","8","MCBateau","325","","","","","","underwater.jpg","0","0","","20","100","","Marin","Terrestre_Marin","2","35","35","10","21","21","25","75","9","2","50","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","3","","","","Attaque","3","","","","","","","","20160529131634","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","","","yes","","","","","","","","","","4","","","","","","","","","","","","50","Carnivore",""
"1198","Selkies","Creature_Mer","8","MCBateau","92","","","","","Marins","selkie.jpg","0","0","","90","65","35","Marin","Terrestre_Marin","2","50","45","10","9","9","15","16","9","5","50","","1","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","10","","","","","","","","20160529131116","","","","","","","","Confusion","3","","","","","","","","","Rencontre","","no","","","","","Moitier","Moitier","","","","","","Sirènes","","","","","0","","","","","","","","","","","","50","Omnivore",""
"1199","Shidji","Creature_Mer","8","MCBateau","70","","","","","","stream.jpg","0","0","","90","65","35","Marin","Terrestre_Marin","2","40","40","10","9","9","25","18","7","5","100","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","12","","","","","","","","20160529131116","","","","","","","","Confusion","1","","","","","","","","","Rencontre","","no","","","","","Moitier","Moitier","","","","","","Marid","","","","","0","","","","","","","","","","","","65","Omnivore",""
"1200","Océaniens","Creature_Mer","6","MCBateau","21","","","","","","poiska.jpg","0","0","","65","50","10","Terrestre_Marin","Terrestre_Marin","1","30","30","10","5","5","15","12","6","1","50","","","","","","","","","","Hasgardos","1","","","","","","Spy","Vivant","Vivant_Monstre_Mort","1","","","","Attaque","30","","","","","","","","20160614134612","","","","","","","","Pillage","","","","","","","","","","Rencontre","","","","","","","Double","Moitier","poison","","","","","Sepia","","","","","2","","","","","","","","","","","","45","Omnivore",""
"1201","Lusca","Creature_Mer","8","MCBateau","550","","","","","","Lusca.jpg","0","0","","65","0","","Terrestre_Marin","Terrestre_Marin_Volant","2","40","15","0","28","28","45","135","6","2","100","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment_Magique","4","","","","Attaque","1","","","","","","","","20160529131634","","","","","","","","Confusion","30","","","","","","","","","Rencontre","","","","","","","Moitier","","nocturne_yes","","","","","","","","","","6","","","","","","","","","","","","100","Charognard",""
"1202","Cavalerie Donga","Soldat","7","MCCheval","125","","Chaos_Dress","","_Oasis_Moss Hot_","","cavdonga2.jpg","0","0","","65","0","0","Terrestre","Terrestre","1","45","25","0","14","6","40","55","7","2","60","","","","","","","18","Paysan","1","Acier","12","Epices","8","Poupee de Ramauk","3","12","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","3","","","","Attaque","9","no","","","Village Mahoud","","","18","20160614134612","","","Village Mumack","","","","","","","","","","","Doit être créé sur un Oasis ou une Savane.","","Mahoud_Cavalier","","","","","","","","","Moitier","","","","BA","01_Dompteur","","","","mconseil","","","12","12","10","","","","","","Cuir","6","","","50","Vegetarien",""
"1203","Cavalerie Donga (v)","Soldat","7","MCCheval","202","","Chaos_Dress","","_Oasis_Moss Hot_","","cavdonga2.jpg","0","0","","65","0","0","Terrestre","Terrestre","1","52","30","0","14","6","40","65","9","2","70","","","","","","","","","","","","","","","","12","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","3","","","","Attaque","","no","","","Experience","","","19","20160301115225","","","","","","","","Confusion","1","","","","","Doit être créé sur un Oasis ou une Savane.","","Mahoud_Cavalier","","","","","","","","","Moitier","","","","BA","","","","","","","","12","","","","","","","","","","","","65","Vegetarien",""
"1204","Macchabs","Soldat","4","MCFanLourd","10","","Necro_Navig","","","","macchabs.jpg","0","0","_Capitaine","50","25","0","Terrestre","Terrestre_Marin","1","37","37","10","6","4","15","11","5","2","100","","","","","","","3","Marin","6","Cadavres frais","6","Pierres de vie","2","Perles","1","12","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","10","","","Attaque","36","yes","","","Navire Fantôme","","","3","20160614134612","","","","","","","","","","","","Necromancie","","","","Marin","-1","","","","","Squelettes","","","","Moitier","vision","","","01_Port maudit","","Capitaine des Mânes","","","","","2","2","2","","","","","","Moral","6","","","100","Charognard",""
"1205","Mânes","Soldat","5","MCFanLeger","74","","Necro_Navig","","","","zompirate.jpg","0","0","","80","25","0","Terrestre","Terrestre_Marin_Volant","2","55","45","8","8","7","30","18","6","2","100","","","","","","","","","","Hasgardos","1","","","","","9","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","12","yes","","","","","","21","20160313122833","","","","","","","","Confusion","2","","","Necromancie","","","","Marin","","Rencontre","","","","","","","Moitier","Moitier","vision","","BS","","","Macchabs","","necropole","","","2","","","Ile maudite","","","","","","","","","100","Charognard",""
"1206","Maraudeurs","Soldat","4","MCBatCab","6","","Chaos_Navig","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Mercenaire_Capitaine","_River_","","maraudeurs.jpg","0","0","_Brigand","65","50","20","Terrestre","Terrestre_Marin","1","30","27","8","5","4","10","13","5","0","35","","","","","","","3","Gueux","2","Chevrons de construction","2","Metal","2","Poissons","6","9","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","Brigand","","Attaque","18","yes","","","Bastion de Brigands","","","5","20160614134612","","","Rafleurs","Planque","","","","Pillage","","","","","","","","Marin_Hors-la-loi_HLL","","Rencontre","","","","Marins","","","Double","Tiers","","","","01_Constructeur naval","Pêcheur","Maraudeurs (v)","Les maraudeurs doivent être créés sur une rivière.","","","","2","1","1","","","","","Embarcadère dérobé","","","","","35","Omnivore",""
"1207","Maraudeurs (v)","Soldat","5","MCBatCab","10","","Chaos_Navig","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Mercenaire_Capitaine","","","maraud2r.jpg","0","0","_Brigand","65","65","25","Terrestre","Terrestre_Marin","1","35","30","8","5","4","15","15","6","0","30","","","","","","","","","","","","","","","","6","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","Brigand","","Attaque","18","yes","","","Experience","","","5","20160614134612","","","","","","","","Pillage","","","","","","","","Marin_Hors-la-loi_HLL","","","","","","Marins","","","","Tiers","","","","","Pêcheur","","","","","","2","","1","","","","","","","","","","35","Omnivore",""
"1208","Garn","Creature_Sauvage","7","MCEclaireurs","61","","Dress","","","","garn.jpg","0","0","","120","85","25","Terrestre","Terrestre","1","45","45","15","8","8","15","22","7","0","40","","","","","","","","","","Hasgardos","1","","","","","","Mil","Monstre","Vivant_Monstre_Mort","1","","","","Attaque","8","yes","","","","","","","20160224013942","","","","","","","","Aggression","4","","","","","","","","","Rencontre","","","","Loups","","","","Moitier","nocturne","","","","","","","","","","0","","","","","","","","","","","","85","Carnivore",""
"1209","Zombies","Soldat","5","MCFanLourd","1","","Necro","","","","hordezombie.jpg","0","0","","65","35","10","Terrestre","Terrestre","1","20","10","0","3","3","0","7","3","2","100","","","","","","","1","Manants","3","Pierres de vie","1","Cadavres frais","6","Moral","3","36","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","36","no","","","Crypte","","","1","20160313124856","","","","","","","","Berserk","3","","","Necromancie","","","","","-1","Rencontre","Bardes","","","Zombies","","","Double","Moitier","vision","","","","","","","hall","","","2","1","1","","","","","","","","","","100","Charognard",""
"1210","Lycanthrope","Creature_Sauvage","6","MCEclaireurs","35","","","","","","cerf.jpg","0","0","","80","35","25","Terrestre","Terrestre","1","30","30","15","9","6","15","25","5","1","50","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","2","30","","","Chasse_Faibles","3","","","","","","","","20160224013942","","","","","","","","Berserk","2","","","","","","","","-1","Rencontre","","","","","","yes","","Moitier","lune","","","","Variable_Paysans","","","","","","2","","","Tanière","","","","","","","","","65","Omnivore",""
"1211","Loups","Creature_Sauvage","7","MCEclaireurs","9","","Dress","","","","loups.jpg","0","0","","120","60","25","Terrestre","Terrestre","1","30","30","0","5","5","10","10","8","1","35","","","","","","","6","","","Gibier","12","","","","","6","Mil","Vivant","Vivant_Monstre_Mort","1","","","","Chasse_Faibles","20","yes","","","Murmure Le loup","","","8","20160301115653","","","Grand wolfen","","","","","","","","","","","","","Barbare_Creature","","Rencontre","","","","Loups","","","Double","Moitier","lune","","","01_Chamane","","Loup-garous","","","","","0","2","2","","","","","","","","","","75","Carnivore",""
"1212","Merrow","Creature_Mer","8","MCBateau","268","","Magie_Navig","","_Sea_Ocean_Reefs_","Marins","merrow.jpg","0","0","","90","35","35","Marin_Sp","Terrestre_Marin","3","50","40","10","8","10","15","18","9","5","75","","1","","","_Rapi1_Puis30_","30","7","Aspirant","3","Pierres de vie","10","Runes de givre","1","Gemmes","5","1","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","10","","","","Cité engloutie","","","10","20160529131634","","","Sirènes","","","","","Confusion","16","","","","","","","Chef_Creature_Tisseur","","","","no","","","yes","","Inverse","Moitier","","","BS","20_Sirènes","","","Doit être créée en mer.","","","","0","93","93","","","","","","Poissons","30","","","85","Omnivore",""
"1213","Shantak","Creature_Mer","8","MCBatMix","111","","","","","","shantak.jpg","0","0","","65","50","35","Terrestre_Marin","Terrestre_Marin","1","37","37","15","7","7","20","21","6","2","50","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","7","","","","","","","","20160529131116","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","Double","Moitier","paralysation","","","","","Lusca","","","","","3","","","","","","","","","","","","70","Charognard",""
"1214","Sepia","Creature_Mer","9","MCBateau","313","","","","","","sepia.jpg","0","0","","85","25","25","Terrestre_Marin","Terrestre_Marin","2","40","20","10","12","12","30","90","7","2","65","","","","","_Brou1_","100","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","5","","","","Attaque","4","","","","","","","","20160529131634","","","","","","","","","","","","","","","","","","Rencontre","","","","","","","","","yes","","","","","Dagon","","","","","4","","","","","","","","","","","","65","Carnivore",""
"1215","Feux grégeois","Machine","1","MCEngin","310","","Alchi","","","","greekfire.jpg","0","0","_Capitaine","0","5","-10","Terrestre_Marin","Terrestre_Marin","4","50","5","0","35","35","20","65","1","0","65","","","","","","","12","","","Acier","3","Chevrons de construction","4","Charbon","2","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","8","","","2","Attaque","","yes","","","Alchimiste","","","14","20160529131116","","","Ingénieur","Laboratoire","","","","","","","","","","","","","","","","","","","yes","","Moitier","Double","yes","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Mercenaire","","01_Arsenal","","","","","","","4","32","32","","","","","Laboratoire clandestin","Spiritueux","3","","","80","Omnivore",""
